category,subcategory,date,location,payee,description,method,amount
Food/Drink,Groceries,1/17/17,,FALLETTI FOODS,PURCHASE                                AUTHORIZED ON   01/14 FALLETTI FOODS            SAN FRANCISCO CA  S587015053311594   CARD 8245,Debit Card/ATM Card ...8245,3650
Food/Drink,Groceries,1/17/17,,FALLETTI FOODS,PURCHASE                                AUTHORIZED ON   01/15 FALLETTI FOODS            SAN FRANCISCO CA  S307015609866644   CARD 8245,Debit Card/ATM Card ...8245,2535
Food/Drink,Groceries,1/17/17,,HAIGHT STREET M,PURCHASE                                AUTHORIZED ON   01/16 HAIGHT STREET M           SAN FRANCISCO CA  P00000000440739439 CARD 8245,Debit Card/ATM Card ...8245,2493
Food/Drink,Restaurants,1/17/17,,DELESSIO MARKET AN,PURCHASE                                AUTHORIZED ON   01/16 DELESSIO MARKET AN        SAN FRANCISCO CA  S587016635341940   CARD 8245,Debit Card/ATM Card ...8245,1170
Food/Drink,Restaurants,1/17/17,,SPLIT BREAD,PURCHASE                                AUTHORIZED ON   01/14 SPLIT BREAD               SAN FRANCISCO CA  S587013711726407   CARD 8245,Debit Card/ATM Card ...8245,1896
Food/Drink,Restaurants,1/17/17,,TAP,PURCHASE                                AUTHORIZED ON   01/15 TAP (415)                 SAN FRANCISCO CA  S307015757407050   CARD 8245,Debit Card/ATM Card ...8245,8833
Pets,Pet Food/Supplies,1/17/17,,BLACK NOSE TRADING,PURCHASE                                AUTHORIZED ON   01/13 BLACK NOSE TRADING        SAN FRANCISCO CA  S587014054359107   CARD 8245,Debit Card/ATM Card ...8245,2501
Shopping,Electronics/Software,1/17/17,,GOOGLE CHROME WEB,PURCHASE                                AUTHORIZED ON   01/13 GOOGLE *Chrome Web        g.co/payhelp# CA  S307013221797244   CARD 8245,Debit Card/ATM Card ...8245,500
Travel,Rental Car,1/17/17,,UBER TECHNOLOGIES,PURCHASE                                AUTHORIZED ON   01/15 UBER TECHNOLOGIES         866-576-1039  CA  S307015727221281   CARD 8245,Debit Card/ATM Card ...8245,969
Uncategorized Payments,Electronic Payments,1/17/17,,EWEKA INTERNET S,EWEKA INTERNET S IAT PAYPAL 170117 1000500733465   TRAVIS LAWRENCE                                  770510487C 1000500733465   0O00000091004057881236,Old Checking ...5384,1048
Outgoing Transfers,Other Outgoing Transfers,1/17/17,,,ONLINE TRANSFER TO LAWRENCE T              CHECKING                                   XXXXXX5366 REF #IBEV5CF2PG ON 01/17/17,Old Checking ...5384,34005
